oo,op,n,t
1,add,30,2.1457672119140625e-06
0,sub,30,9.5367431640625e-07
1,sub,30,2.1457672119140625e-06
0,add,31,1.6689300537109375e-06
1,add,31,2.1457672119140625e-06
0,sub,31,1.1920928955078125e-06
1,sub,31,1.9073486328125e-06
0,add,32,9.5367431640625e-07
1,add,32,4.291534423828125e-06
0,sub,32,1.9073486328125e-06
1,sub,32,1.9073486328125e-06
0,add,33,2.1457672119140625e-06
1,add,33,2.1457672119140625e-06
0,sub,33,1.6689300537109375e-06
1,sub,33,2.1457672119140625e-06
0,add,34,9.5367431640625e-07
1,add,34,2.1457672119140625e-06
0,sub,34,1.9073486328125e-06
1,sub,34,2.1457672119140625e-06
0,add,35,9.5367431640625e-07
1,add,35,9.5367431640625e-07
0,sub,35,1.1920928955078125e-06
1,sub,35,1.6689300537109375e-06
0,add,36,2.1457672119140625e-06
1,add,36,1.6689300537109375e-06
0,sub,36,9.5367431640625e-07
1,sub,36,1.1920928955078125e-06
0,add,37,1.9073486328125e-06
1,add,37,2.1457672119140625e-06
0,sub,37,9.5367431640625e-07
1,sub,37,1.9073486328125e-06
0,add,38,2.1457672119140625e-06
1,add,38,1.9073486328125e-06
0,sub,38,9.5367431640625e-07
1,sub,38,2.1457672119140625e-06
0,add,39,1.1920928955078125e-06
1,add,39,9.5367431640625e-07
0,sub,39,2.1457672119140625e-06
1,sub,39,2.1457672119140625e-06
0,add,40,1.1920928955078125e-06
1,add,40,1.9073486328125e-06
0,sub,40,9.5367431640625e-07
1,sub,40,2.1457672119140625e-06
0,add,41,1.1920928955078125e-06
1,add,41,2.1457672119140625e-06
0,sub,41,1.9073486328125e-06
1,sub,41,1.1920928955078125e-06
0,add,42,2.1457672119140625e-06
1,add,42,2.1457672119140625e-06
0,sub,42,2.1457672119140625e-06
1,sub,42,2.6226043701171875e-06
0,add,43,9.5367431640625e-07
1,add,43,2.1457672119140625e-06
0,sub,43,1.9073486328125e-06
1,sub,43,3.0994415283203125e-06
0,add,44,9.5367431640625e-07
1,add,44,1.6689300537109375e-06
0,sub,44,2.1457672119140625e-06
1,sub,44,3.0994415283203125e-06
0,add,45,2.1457672119140625e-06
1,add,45,3.0994415283203125e-06
0,sub,45,1.9073486328125e-06
1,sub,45,2.1457672119140625e-06
0,add,46,2.1457672119140625e-06
1,add,46,2.1457672119140625e-06
0,sub,46,2.1457672119140625e-06
1,sub,46,2.6226043701171875e-06
0,add,47,2.1457672119140625e-06
1,add,47,1.9073486328125e-06
0,sub,47,1.9073486328125e-06
1,sub,47,1.9073486328125e-06
0,add,48,1.9073486328125e-06
1,add,48,3.0994415283203125e-06
0,sub,48,1.9073486328125e-06
1,sub,48,2.1457672119140625e-06
0,add,49,2.1457672119140625e-06
1,add,49,2.1457672119140625e-06
0,sub,49,1.6689300537109375e-06
1,sub,49,3.0994415283203125e-06
0,add,50,1.6689300537109375e-06
1,add,50,3.0994415283203125e-06
0,sub,50,2.1457672119140625e-06
1,sub,50,3.0994415283203125e-06
0,add,51,1.9073486328125e-06
1,add,51,3.0994415283203125e-06
0,sub,51,2.1457672119140625e-06
1,sub,51,1.6689300537109375e-06
0,add,52,1.9073486328125e-06
1,add,52,1.9073486328125e-06
0,sub,52,1.9073486328125e-06
1,sub,52,3.0994415283203125e-06
0,add,53,1.9073486328125e-06
1,add,53,3.0994415283203125e-06
0,sub,53,1.9073486328125e-06
1,sub,53,3.0994415283203125e-06
0,add,54,1.9073486328125e-06
1,add,54,3.0994415283203125e-06
0,sub,54,2.1457672119140625e-06
1,sub,54,2.86102294921875e-06
0,add,55,2.1457672119140625e-06
1,add,55,1.9073486328125e-06
0,sub,55,2.1457672119140625e-06
